kp,kd,step_rad,send_ms,elapsed_ms,feedback_elapsed_ms,q_base,q_target,angle,speed,position_error,response_ratio,t_ref_est,type2_torque,motor_age_ms,online,error_code
70.0,1.6,0.03,6.992872999944666,306.8753249999645,304.8753249999645,0.001,0.031,0.03,-0.05,0.0010000000000000009,0.9666666666666667,0.15000000000000008,0.09,2.0,True,0
70.0,1.6,0.03,6.992872999944666,326.9209959998989,319.9209959998989,0.001,0.031,0.03,0.12,0.0010000000000000009,0.9666666666666667,-0.12199999999999994,0.0,7.0,True,0
70.0,1.6,0.03,6.992872999944666,347.07280899965554,334.07280899965554,0.001,0.031,0.03,-0.02,0.0010000000000000009,0.9666666666666667,0.10200000000000006,0.0,13.0,True,0
70.0,1.6,0.03,6.992872999944666,366.8823549996887,363.8823549996887,0.001,0.031,0.03,-0.07,0.0010000000000000009,0.9666666666666667,0.18200000000000008,0.0,3.0,True,0
70.0,1.6,0.03,6.992872999944666,386.85093900039647,378.85093900039647,0.001,0.031,0.03,0.13,0.0010000000000000009,0.9666666666666667,-0.13799999999999996,0.0,8.0,True,0
70.0,1.6,0.03,6.992872999944666,406.84444999988045,393.84444999988045,0.001,0.031,0.03,0.05,0.0010000000000000009,0.9666666666666667,-0.009999999999999953,0.0,13.0,True,0
70.0,1.6,0.03,6.992872999944666,426.8312740005058,423.8312740005058,0.001,0.031,0.03,-0.02,0.0010000000000000009,0.9666666666666667,0.10200000000000006,0.0,3.0,True,0
70.0,1.6,0.03,6.992872999944666,447.1529410002404,439.1529410002404,0.001,0.031,0.03,-0.08,0.0010000000000000009,0.9666666666666667,0.19800000000000006,0.25,8.0,True,0
70.0,1.6,0.03,6.992872999944666,467.0894609998868,454.0894609998868,0.001,0.031,0.03,-0.04,0.0010000000000000009,0.9666666666666667,0.13400000000000006,0.0,13.0,True,0
70.0,1.6,0.03,6.992872999944666,486.99682999995275,483.99682999995275,0.001,0.031,0.03,-0.02,0.0010000000000000009,0.9666666666666667,0.10200000000000006,0.04,3.0,True,0
70.0,1.6,0.03,6.992872999944666,506.942502000129,498.942502000129,0.001,0.031,0.03,0.08,0.0010000000000000009,0.9666666666666667,-0.05799999999999994,0.0,8.0,True,0
70.0,1.6,0.03,6.992872999944666,526.9808450002529,513.9808450002529,0.001,0.031,0.03,-0.03,0.0010000000000000009,0.9666666666666667,0.11800000000000006,0.11,13.0,True,0
70.0,1.6,0.03,6.992872999944666,547.1047230003023,543.1047230003023,0.001,0.031,0.03,0.0,0.0010000000000000009,0.9666666666666667,0.07000000000000006,0.17,4.0,True,0
70.0,1.6,0.03,6.992872999944666,566.9188760002726,557.9188760002726,0.001,0.031,0.03,-0.14,0.0010000000000000009,0.9666666666666667,0.2940000000000001,-0.02,9.0,True,0
70.0,1.6,0.03,6.992872999944666,586.9854109996595,572.9854109996595,0.001,0.031,0.03,-0.04,0.0010000000000000009,0.9666666666666667,0.13400000000000006,0.0,14.0,True,0
70.0,1.6,0.03,6.992872999944666,606.9401069999003,602.9401069999003,0.001,0.031,0.03,0.06,0.0010000000000000009,0.9666666666666667,-0.02599999999999994,0.0,4.0,True,0
70.0,1.6,0.03,6.992872999944666,626.2480269997468,617.2480269997468,0.001,0.031,0.03,-0.1,0.0010000000000000009,0.9666666666666667,0.2300000000000001,0.26,9.0,True,0
